iter	RMSE
0	26.47914483
1	26.47755214
2	26.47614257
3	26.47504196
4	26.4737643
5	26.47255674
6	26.47174582
7	26.47087678
8	26.47007775
9	26.46945252
10	26.46869394
11	26.46799788
12	26.46708779
13	26.46657119
14	26.46598777
15	26.46522595
16	26.46461593
17	26.46405455
18	26.46346523
19	26.46273742
20	26.46213832
21	26.46157831
22	26.46108196
23	26.46048354
24	26.45982386
25	26.45918817
26	26.4586994
27	26.45811796
28	26.45757003
29	26.45696161
30	26.45632983
31	26.45583378
32	26.45525242
33	26.45481134
34	26.45430826
35	26.45381438
36	26.45337335
37	26.45278898
38	26.45241052
39	26.45177835
40	26.45125635
41	26.45070615
42	26.4501935
43	26.44963486
44	26.44894749
45	26.44846899
46	26.44785769
47	26.44724201
48	26.44681208
49	26.4462923
50	26.44578928
51	26.44530232
52	26.4449248
53	26.444306
54	26.44355208
55	26.44307765
56	26.44252641
57	26.44201056
58	26.44149795
59	26.44085316
60	26.44046375
61	26.43987479
62	26.43946439
63	26.43892678
64	26.43855408
65	26.43803853
66	26.43751314
67	26.43701532
68	26.43649949
69	26.43599266
70	26.43559137
71	26.43515006
72	26.43479136
73	26.4341392
74	26.43360495
75	26.43302612
76	26.43244387
77	26.4318298
78	26.43117767
79	26.43078302
80	26.43023331
81	26.42956816
82	26.42894108
83	26.42851413
84	26.42812316
85	26.42754726
86	26.42721605
87	26.42671511
88	26.42624625
89	26.42571973
90	26.42513715
91	26.42449216
92	26.42403805
93	26.42349681
94	26.42291783
95	26.42257156
96	26.42208525
97	26.42151065
98	26.4209246
99	26.42046705
100	26.42006122
101	26.4194649
102	26.4189898
103	26.41865872
104	26.41817919
105	26.41755342
106	26.41701338
107	26.41642757
108	26.41585392
109	26.41541038
110	26.41490704
111	26.41441303
112	26.41381109
113	26.41328818
114	26.41271511
115	26.41225212
116	26.4117443
117	26.4111399
118	26.41067966
119	26.41022122
120	26.40969887
121	26.40919264
122	26.40856052
123	26.40806586
124	26.40765434
125	26.40717082
126	26.40666254
127	26.40587539
128	26.40523394
129	26.40475084
130	26.40422046
131	26.40371964
132	26.40311149
133	26.40262156
134	26.40204283
135	26.40154398
136	26.40098088
137	26.40048786
138	26.39981694
139	26.39917358
140	26.39844948
141	26.39800372
142	26.39746886
143	26.39688379
144	26.39639368
145	26.39574291
146	26.39507661
147	26.39441533
148	26.39390892
149	26.39323541
150	26.39279155
151	26.39220085
152	26.39164856
153	26.39092267
154	26.39034332
155	26.38976276
156	26.38896783
157	26.38838688
158	26.38774727
159	26.38697362
160	26.38621041
161	26.38560501
162	26.38488937
163	26.38424469
164	26.38362482
165	26.38309219
166	26.38249946
167	26.38188393
168	26.38134617
169	26.3804716
170	26.37966869
171	26.37902752
172	26.3782558
173	26.37758344
174	26.37691835
175	26.37637713
176	26.37546097
177	26.37492182
178	26.37424412
179	26.37365033
180	26.37300222
181	26.37244039
182	26.37179384
183	26.37119667
184	26.37057348
185	26.36995171
186	26.36933038
187	26.36870265
188	26.36807243
189	26.36745861
190	26.3667949
191	26.36603089
192	26.36547487
193	26.36491326
194	26.36429225
195	26.36358902
196	26.36270833
197	26.36208122
198	26.36149811
199	26.36076421
200	26.36016053
201	26.35946582
202	26.35873336
203	26.35818058
204	26.3575248
205	26.35691804
206	26.35633306
207	26.35568628
208	26.354998
209	26.35434616
210	26.35385152
211	26.353183
212	26.35220512
213	26.35158021
214	26.35087049
215	26.35027792
216	26.34978873
217	26.34935288
218	26.34875586
219	26.34819623
220	26.34742806
221	26.34676503
222	26.34612376
223	26.34550027
224	26.34502545
225	26.3445152
226	26.34394343
227	26.34331846
228	26.34278663
229	26.34215266
230	26.3416963
231	26.34120367
232	26.34066811
233	26.34008098
234	26.33949615
235	26.33873157
236	26.3381398
237	26.33762936
238	26.33706628
239	26.33653008
240	26.3359285
241	26.33548955
242	26.33495864
243	26.33436526
244	26.33374704
245	26.332989
246	26.33252804
247	26.33204168
248	26.33142676
249	26.33087724
250	26.33019157
251	26.3295652
252	26.32902639
253	26.32848471
254	26.32804515
255	26.32738771
256	26.32701259
257	26.32628515
258	26.32562995
259	26.32497108
260	26.32447158
261	26.32400512
262	26.32335416
263	26.32277329
264	26.32194963
265	26.32139877
266	26.32069251
267	26.32011999
268	26.31956361
269	26.31893195
270	26.31829664
271	26.31772605
272	26.31696742
273	26.316441
274	26.3158615
275	26.31523269
276	26.31461304
277	26.31402082
278	26.31355597
279	26.31288377
280	26.31217425
281	26.31157758
282	26.31105504
283	26.31041176
284	26.30976497
285	26.30916
286	26.30853152
287	26.30800728
288	26.3072208
289	26.30668377
290	26.30608562
291	26.30559042
292	26.30484644
293	26.30425933
294	26.30369227
295	26.30330913
296	26.30277738
297	26.30213033
298	26.3016211
299	26.30123556
300	26.30069404
301	26.30012166
302	26.29962212
303	26.29909023
304	26.29836146
305	26.29783899
306	26.29737171
307	26.29675702
308	26.29621579
309	26.29575819
310	26.2951306
311	26.29450632
312	26.29402773
313	26.29360736
314	26.29318156
315	26.29255892
316	26.29188375
