iter	Passed	Remaining
0	48	48701
1	96	48289
2	144	47948
3	189	47231
4	234	46669
5	278	46191
6	323	45944
7	371	46051
8	413	45559
9	456	45233
10	508	45722
11	560	46158
12	606	46016
13	651	45860
14	704	46265
15	748	46029
16	794	45913
17	835	45572
18	875	45218
19	914	44811
20	965	44997
21	1018	45263
22	1063	45172
23	1111	45203
24	1155	45061
25	1209	45294
26	1255	45247
27	1303	45243
28	1356	45434
29	1400	45285
30	1446	45210
31	1492	45146
32	1536	45010
33	1591	45211
34	1643	45299
35	1693	45337
36	1743	45370
37	1785	45189
38	1834	45209
39	1887	45289
40	1931	45178
41	1980	45182
42	2024	45059
43	2071	45015
44	2121	45028
45	2171	45044
46	2221	45050
47	2266	44947
48	2309	44821
49	2351	44686
50	2398	44629
51	2443	44546
52	2492	44541
53	2539	44481
54	2582	44370
55	2631	44353
56	2675	44266
57	2720	44184
58	2762	44055
59	2810	44035
60	2860	44033
61	2910	44027
62	2959	44010
63	3006	43973
64	3049	43859
65	3096	43814
66	3142	43755
67	3181	43611
68	3224	43509
69	3269	43439
70	3314	43363
71	3360	43317
72	3406	43259
73	3451	43188
74	3497	43134
75	3546	43117
76	3587	43006
77	3628	42884
78	3671	42799
79	3720	42790
80	3768	42753
81	3815	42712
82	3854	42584
83	3899	42518
84	3943	42449
85	3989	42397
86	4035	42350
87	4079	42278
88	4128	42257
89	4174	42213
90	4215	42109
91	4264	42092
92	4309	42030
93	4353	41957
94	4412	42037
95	4462	42025
96	4508	41972
97	4549	41869
98	4596	41835
99	4640	41763
100	4691	41760
101	4732	41661
102	4779	41624
103	4824	41566
104	4863	41453
105	4907	41393
106	4945	41277
107	4996	41264
108	5041	41212
109	5091	41197
110	5138	41153
111	5191	41158
112	5241	41145
113	5288	41105
114	5332	41033
115	5385	41038
116	5433	41004
117	5484	40995
118	5528	40926
119	5575	40886
120	5621	40834
121	5672	40822
122	5717	40767
123	5767	40745
124	5816	40714
125	5864	40680
126	5912	40643
127	5952	40550
128	5997	40496
129	6043	40445
130	6096	40441
131	6140	40380
132	6188	40341
133	6236	40301
134	6290	40306
135	6339	40277
136	6390	40255
137	6438	40220
138	6495	40232
139	6545	40209
140	6587	40130
141	6635	40090
142	6680	40035
143	6732	40018
144	6779	39977
145	6827	39938
146	6876	39904
147	6924	39860
148	6968	39801
149	7013	39741
150	7061	39702
151	7108	39658
152	7155	39613
153	7206	39589
154	7254	39551
155	7302	39508
156	7349	39462
157	7393	39399
158	7437	39336
159	7486	39304
160	7530	39245
161	7581	39216
162	7625	39158
163	7670	39101
164	7724	39091
165	7767	39026
166	7812	38969
167	7861	38933
168	7911	38904
169	7951	38821
170	7996	38767
171	8041	38710
172	8086	38657
173	8134	38616
174	8182	38573
175	8227	38517
176	8268	38447
177	8315	38400
178	8359	38341
179	8407	38299
180	8453	38249
181	8502	38215
182	8548	38163
183	8595	38117
184	8640	38063
185	8693	38047
186	8739	37996
187	8788	37959
188	8835	37913
189	8885	37879
190	8930	37826
191	8969	37747
192	9020	37718
193	9080	37727
194	9126	37674
195	9172	37625
196	9211	37548
197	9261	37513
198	9311	37478
199	9363	37454
200	9414	37422
201	9457	37361
202	9502	37308
203	9559	37299
204	9623	37320
205	9672	37281
206	9722	37247
207	9775	37223
208	9821	37170
209	9875	37151
210	9926	37117
211	9974	37073
212	10012	36995
213	10058	36943
214	10105	36897
215	10154	36858
216	10201	36809
217	10247	36760
218	10291	36702
219	10341	36666
220	10385	36606
221	10431	36558
222	10480	36517
223	10532	36488
224	10578	36435
225	10624	36385
226	10675	36351
227	10723	36309
228	10768	36254
229	10812	36199
230	10856	36142
231	10901	36088
232	10954	36059
233	11004	36023
234	11050	35973
235	11094	35915
236	11142	35873
237	11190	35828
238	11232	35765
239	11280	35720
240	11321	35656
241	11368	35608
242	11416	35565
243	11461	35510
244	11510	35472
245	11566	35451
246	11614	35407
247	11664	35369
248	11713	35329
249	11763	35290
250	11804	35225
251	11852	35179
252	11899	35134
253	11947	35091
254	11993	35039
255	12041	34995
256	12090	34955
257	12137	34905
258	12182	34854
259	12228	34802
260	12273	34752
261	12318	34698
262	12366	34653
263	12414	34610
264	12461	34561
265	12509	34519
266	12560	34481
267	12608	34436
268	12654	34386
269	12703	34346
270	12754	34309
271	12804	34271
272	12850	34221
273	12897	34173
274	12944	34125
275	12986	34066
276	13029	34007
277	13073	33954
278	13122	33912
279	13169	33863
280	13215	33813
281	13269	33785
282	13312	33728
283	13360	33684
284	13408	33639
285	13457	33596
286	13507	33558
287	13563	33532
288	13608	33480
289	13655	33433
290	13699	33377
291	13750	33340
292	13790	33276
293	13836	33226
294	13884	33182
295	13929	33129
296	13975	33079
297	14017	33020
298	14064	32974
299	14113	32932
300	14160	32883
301	14212	32848
302	14258	32800
303	14308	32759
304	14350	32700
305	14399	32658
306	14445	32607
307	14495	32567
308	14548	32535
309	14599	32496
310	14653	32463
311	14705	32427
312	14769	32417
313	14820	32378
314	14877	32353
315	14927	32311
316	14974	32263
317	15018	32209
318	15065	32161
319	15113	32116
320	15165	32079
321	15209	32024
322	15256	31977
323	15305	31932
324	15347	31876
325	15401	31841
326	15448	31794
327	15491	31739
328	15540	31694
