id,BeatsPerMinute
524164,119.19945
524165,118.816765
524166,119.40054
524167,119.29889
524168,119.3499
524169,119.19295
524170,118.63742
524171,118.67187
524172,119.08734
524173,118.70692
524174,118.621284
524175,118.51754
524176,118.59493
524177,118.79488
524178,118.95705
524179,119.21054
524180,119.18356
524181,119.38422
524182,119.00389
524183,118.9573
524184,121.89884
524185,118.98168
524186,119.33326
524187,118.83767
524188,119.283844
524189,118.65998
524190,118.981995
524191,118.5353
524192,119.50279
524193,118.719536
524194,118.85634
524195,118.887634
524196,119.65132
524197,118.35517
524198,119.30516
524199,119.30328
524200,118.83803
524201,118.85889
524202,118.56316
524203,118.74977
524204,118.85102
524205,119.01723
524206,119.09289
524207,119.3314
524208,119.18763
524209,118.893326
524210,118.70163
524211,118.52967
524212,119.07399
524213,119.00715
524214,121.5242
524215,118.81641
524216,118.96232
524217,119.72648
524218,118.47406
524219,118.58448
524220,118.963615
524221,119.094604
524222,119.22549
524223,122.73302
524224,119.02365
524225,118.85245
524226,118.34359
524227,119.2081
524228,119.02935
524229,118.82726
524230,119.25632
524231,118.8774
524232,118.751175
524233,118.635155
524234,118.78715
524235,118.87434
524236,119.50697
524237,119.34732
524238,119.16033
524239,118.47265
524240,119.195595
524241,118.97281
524242,119.02612
524243,118.98916
524244,118.72251
524245,119.143524
524246,119.164085
524247,118.81067
524248,118.818855
524249,119.04465
524250,119.0075
524251,118.77186
524252,119.19987
524253,119.006905
524254,119.210526
524255,118.79067
524256,118.66241
524257,119.22859
524258,119.43008
524259,118.681595
524260,118.858536
524261,119.31145
524262,118.647514
524263,119.17397
524264,119.160866
524265,118.6261
524266,119.57325
524267,119.3213
524268,119.32091
524269,118.89222
524270,119.22657
524271,119.391365
524272,119.40424
524273,118.93064
524274,118.755
524275,118.757935
524276,118.22817
524277,119.433136
524278,119.347435
524279,118.22787
524280,118.91829
524281,118.85304
524282,118.93302
524283,118.93487
524284,119.09684
524285,119.19273
524286,119.103
524287,119.09073
524288,118.781586
524289,118.77181
524290,118.73704
524291,118.95911
524292,119.03514
524293,119.477394
524294,119.05825
524295,119.52011
524296,118.888985
524297,118.92196
524298,118.302444
524299,119.138
524300,119.428
524301,119.07526
524302,119.40641
524303,118.729576
524304,119.37684
524305,119.1205
524306,118.86272
524307,119.36792
524308,119.00451
524309,119.29428
524310,118.9647
524311,118.847336
524312,118.734795
524313,118.837975
524314,119.28224
524315,118.76871
524316,118.71594
524317,119.017426
524318,119.066765
524319,118.97054
524320,118.86377
524321,118.96061
524322,119.03718
524323,119.482346
524324,118.78047
524325,118.998604
524326,119.029625
524327,119.147316
524328,118.86874
524329,119.24725
524330,118.90074
524331,119.574936
524332,119.10841
524333,118.85765
524334,118.567635
524335,119.15304
524336,119.13613
524337,118.53588
524338,119.19419
524339,118.713165
524340,118.50868
524341,119.26982
524342,119.28418
524343,119.30731
524344,119.40247
524345,119.2843
524346,119.03635
524347,119.28018
524348,119.00592
524349,117.90568
524350,118.30185
524351,118.85391
524352,119.12466
524353,118.6176
524354,119.92217
524355,119.362114
524356,118.82821
524357,119.44627
524358,119.137375
524359,118.80313
524360,118.97916
524361,119.222435
524362,118.98595
524363,118.998474
524364,118.81865
524365,119.41297
524366,118.71866
524367,119.1076
524368,118.99691
524369,119.31516
524370,118.9804
524371,118.939095
524372,118.879715
524373,118.985374
524374,119.29262
524375,119.18355
524376,118.970695
524377,118.60692
524378,119.30014
524379,120.2689
524380,118.47484
524381,119.13611
524382,118.96105
524383,119.41966
524384,119.07898
524385,119.44266
524386,118.997246
524387,118.90998
524388,118.58579
524389,118.50593
524390,118.78808
524391,118.8762
524392,118.42395
524393,118.64338
524394,119.02344
524395,119.00122
524396,118.49372
524397,119.07035
524398,118.345345
524399,119.193535
524400,119.034775
524401,119.33469
524402,117.90213
524403,120.01067
524404,119.40747
524405,115.62463
524406,120.50887
524407,119.36515
524408,118.22355
524409,119.2892
524410,119.00346
524411,119.85134
524412,118.27243
524413,119.03827
524414,118.93854
524415,119.31871
524416,119.32373
524417,118.8927
524418,119.36057
524419,119.091125
524420,119.35322
524421,119.1232
524422,118.95017
524423,119.27066
524424,119.148384
524425,119.03895
524426,118.79725
524427,118.532
524428,118.851814
524429,119.15589
524430,119.12366
524431,118.767044
524432,118.53389
524433,119.40095
524434,119.5458
524435,119.24979
524436,118.8562
524437,118.95866
524438,118.56975
524439,118.84249
524440,119.36827
524441,118.96655
524442,119.13963
524443,119.107216
524444,119.400955
524445,117.94903
524446,118.77668
524447,119.180435
524448,118.95787
524449,118.92511
524450,119.21685
524451,118.77182
524452,120.30941
524453,119.03082
524454,119.4492
524455,118.73735
524456,118.50605
524457,119.12621
524458,119.167885
524459,118.87029
524460,118.72866
524461,119.5635
524462,118.89644
524463,119.33082
524464,118.67567
524465,119.32582
524466,119.46733
524467,118.53994
524468,118.512825
524469,120.25154
524470,119.49713
524471,118.694176
524472,118.70115
524473,118.804085
524474,119.01564
524475,118.506805
524476,119.202225
524477,119.709625
524478,119.26448
524479,119.1932
524480,118.722824
524481,118.76905
524482,119.00973
524483,118.85361
524484,118.9842
524485,119.44979
524486,119.219955
524487,118.58362
524488,118.3574
524489,118.67984
524490,119.15203
524491,119.01566
524492,119.286095
524493,119.17772
524494,118.61969
524495,118.78159
524496,118.40574
524497,118.615715
524498,119.162994
524499,118.55352
524500,119.250244
524501,119.06798
524502,118.93397
524503,118.97757
524504,119.46042
524505,118.83189
524506,119.446236
524507,118.516426
524508,118.64896
524509,118.649
524510,119.2986
524511,118.66712
524512,118.92511
524513,118.7586
524514,118.967476
524515,119.1034
524516,119.303314
524517,118.83355
524518,118.89577
524519,119.10302
524520,119.187256
524521,119.061874
524522,119.30363
524523,120.35256
524524,118.60601
524525,119.251305
524526,119.21561
524527,118.5126
524528,119.253586
524529,119.13322
524530,117.595345
524531,119.055084
524532,119.2114
524533,118.50078
524534,119.10281
524535,119.051636
524536,119.32672
524537,119.174736
524538,118.8385
524539,118.51903
524540,118.95543
524541,119.27506
524542,118.17977
524543,118.55201
524544,118.87421
524545,118.13892
524546,119.41532
524547,119.01282
524548,119.122345
524549,119.19872
524550,118.82558
524551,118.80658
524552,118.96854
524553,119.40755
524554,118.97361
524555,119.00855
524556,118.94288
524557,118.92247
524558,119.161804
524559,118.726036
524560,118.87213
524561,119.03345
524562,118.41655
524563,118.560104
524564,118.90793
524565,119.47047
524566,118.46052
524567,119.36167
524568,121.52723
524569,118.9209
524570,118.41476
524571,118.8127
524572,121.96704
524573,119.00738
524574,119.077835
